player_id,name,name_norm,ioc,hand,height_cm,first_seen_date,last_seen_date
37934933,Jose Acasuso,jose acasuso,ARG,R,190.0,2001-05-28,2010-01-18
57056984,Andy Roddick,andy roddick,USA,R,188.0,2000-08-28,2012-08-27
57729784,Jan Frode Andersen,jan frode andersen,NOR,L,190.0,2001-05-28,2001-05-28
26350803,Andrei Stoliarov,andrei stoliarov,RUS,R,178.0,2001-01-15,2002-06-24
680478,Albert Montanes,albert montanes,ESP,R,175.0,2001-05-28,2016-06-27
91547776,Nicolas Coutelot,nicolas coutelot,FRA,R,185.0,2001-05-28,2003-05-26
21858220,David Sanchez,david sanchez,ESP,R,183.0,2000-08-28,2005-05-23
85647048,Magnus Larsson,magnus larsson,SWE,R,193.0,2001-05-28,2003-01-13
73145045,Barry Cowan,barry cowan,GBR,L,188.0,2000-06-26,2002-06-24
33051206,Bob Bryan,bob bryan,USA,L,193.0,2000-08-28,2001-08-27
35237355,Davide Sanguinetti,davide sanguinetti,ITA,R,188.0,2000-01-17,2007-06-25
70458109,German Puentes,german puentes,ESP,R,173.0,2001-01-15,2001-08-27
45860684,Kenneth Carlsen,kenneth carlsen,DEN,L,190.0,2001-06-25,2006-05-29
30443828,Felix Mantilla,felix mantilla,ESP,R,180.0,2000-01-17,2005-08-29
94859806,Taylor Dent,taylor dent,USA,R,188.0,2000-06-26,2010-08-30
57715761,Jamie Delgado,jamie delgado,GBR,R,178.0,2000-01-17,2006-06-26
92571015,David Nalbandian,david nalbandian,ARG,R,180.0,2001-08-27,2012-06-25
12391329,George Bastl,george bastl,SUI,R,183.0,2000-01-17,2006-08-28
73946074,James Blake,james blake,USA,R,185.0,2001-08-27,2013-08-26
63532,Bjorn Phau,bjorn phau,GER,R,175.0,2000-05-29,2013-01-14
49000504,Jack Brasington,jack brasington,USA,R,188.0,2001-08-27,2003-01-13
71776499,Ivan Ljubicic,ivan ljubicic,CRO,R,193.0,2000-01-17,2012-01-16
7573096,Robby Ginepri,robby ginepri,USA,R,183.0,2001-08-27,2014-05-26
46384894,Ramon Delgado,ramon delgado,PAR,R,185.0,2001-08-27,2010-06-21
96563756,Jean Francois Bachelot,jean francois bachelot,FRA,R,183.0,2002-01-14,2002-06-24
21745866,Alexandre Simoni,alexandre simoni,BRA,R,188.0,2001-08-27,2002-06-24
11646943,Mardy Fish,mardy fish,USA,R,188.0,2000-08-28,2015-08-31
39068304,Alex Kim,alex kim,USA,R,175.0,2000-08-28,2003-08-25
21175254,Sebastien De Chaunac,sebastien de chaunac,FRA,R,183.0,2001-08-27,2009-01-19
24250981,Feliciano Lopez,feliciano lopez,ESP,L,188.0,2001-05-28,2022-06-27
98867272,Amir Hadad,amir hadad,ISR,R,183.0,2002-05-27,2002-05-27
34432418,Jarkko Nieminen,jarkko nieminen,FIN,L,185.0,2002-01-14,2015-08-31
61040486,Irakli Labadze,irakli labadze,GEO,L,188.0,2002-01-14,2006-06-26
5002432,Paul Henri Mathieu,paul henri mathieu,FRA,R,185.0,2001-05-28,2017-05-29
20340436,Oleg Ogorodov,oleg ogorodov,UZB,R,193.0,2002-05-27,2002-05-27
12211658,Flavio Saretta,flavio saretta,BRA,R,183.0,2002-01-14,2006-08-28
61793489,Gregory Carraz,gregory carraz,FRA,R,190.0,2002-06-24,2005-01-17
25192861,Julian Knowle,julian knowle,AUT,L,188.0,2001-06-25,2004-06-21
85192655,Jeff Morrison,jeff morrison,USA,R,185.0,2002-06-24,2006-08-28
53816424,Jan Vacek,jan vacek,CZE,R,198.0,2001-06-25,2004-06-21
56559222,Mario Ancic,mario ancic,CRO,R,196.0,2002-06-24,2009-01-19
83240724,Scott Draper,scott draper,AUS,L,178.0,2000-01-17,2005-06-20
52367675,Radek Stepanek,radek stepanek,CZE,R,185.0,2002-06-24,2017-01-16
76279064,Alexander Waske,alexander waske,GER,R,188.0,2002-06-24,2007-08-27
90715087,Nicolas Thomann,nicolas thomann,FRA,R,183.0,2001-05-28,2002-06-24
15481577,Karol Beck,karol beck,SVK,R,180.0,2002-06-24,2012-08-27
55147581,Noam Okun,noam okun,ISR,R,185.0,2000-01-17,2006-08-28
30200466,Robin Soderling,robin soderling,SWE,R,193.0,2002-08-26,2011-06-20
42602287,John Van Lottum,john van lottum,NED,R,185.0,2000-01-17,2004-06-21
55534071,Dick Norman,dick norman,BEL,L,203.0,2002-08-26,2006-06-26
42405698,Gaston Etlis,gaston etlis,ARG,R,185.0,2002-08-26,2002-08-26
3466042,Jurgen Melzer,jurgen melzer,AUT,L,183.0,2000-06-26,2017-01-16
58020859,Todd Larkham,todd larkham,AUS,R,178.0,2002-01-14,2004-01-19
50960949,Vadim Kutsenko,vadim kutsenko,RUS,R,180.0,2003-01-13,2004-01-19
43279243,Joseph Sirianni,joseph sirianni,AUS,R,175.0,2000-01-17,2008-01-14
94012658,Jaymon Crabb,jaymon crabb,AUS,R,183.0,2002-01-14,2003-01-13
10222613,Peter Luczak,peter luczak,AUS,R,183.0,2003-01-13,2011-01-17
73704003,Renzo Furlan,renzo furlan,ITA,R,175.0,2003-01-13,2003-01-13
57801506,Olivier Mutis,olivier mutis,FRA,R,175.0,2003-05-26,2005-01-17
83718544,Julien Varlet,julien varlet,FRA,R,180.0,2002-05-27,2003-05-26
6990702,Victor Hanescu,victor hanescu,ROU,R,198.0,2003-05-26,2014-06-23
33667681,Luis Horna,luis horna,PER,R,180.0,2002-08-26,2008-08-25
