player_id,name,name_norm,ioc,first_seen_date,last_seen_date
3908504,Martin Verkerk,martin verkerk,NED,2002-08-26,2007-05-28
39723020,Matias Boeker,matias boeker,USA,2002-08-26,2002-08-26
93313355,Prakash Amritraj,prakash amritraj,IND,2002-08-26,2002-08-26
27699041,Radoslav Lukaev,radoslav lukaev,BUL,2002-08-26,2002-08-26
30905695,Robin Soderling,robin soderling,SWE,2002-08-26,2011-06-20
39799691,Slimane Saoudi,slimane saoudi,ALG,2002-08-26,2002-08-26
11464699,Tuomas Ketola,tuomas ketola,FIN,2002-08-26,2005-06-20
12833669,David Ferrer,david ferrer,ESP,2003-01-13,2018-08-27
74742137,Joachim Johansson,joachim johansson,SWE,2003-01-13,2007-01-15
88783669,Marcos Daniel,marcos daniel,BRA,2003-01-13,2011-01-17
66885614,Peter Luczak,peter luczak,AUS,2003-01-13,2011-01-17
59846478,Renzo Furlan,renzo furlan,ITA,2003-01-13,2003-01-13
78181520,Ryan Henry,ryan henry,AUS,2003-01-13,2003-01-13
57277751,Vadim Kutsenko,vadim kutsenko,RUS,2003-01-13,2004-01-19
94160839,Zeljko Krajan,zeljko krajan,CRO,2003-01-13,2003-06-23
34097455,Filippo Volandri,filippo volandri,ITA,2003-05-26,2014-06-23
30451190,Giovanni Lapentti,giovanni lapentti,ECU,2003-05-26,2009-08-31
49503595,Hermes Gamonal,hermes gamonal,CHI,2003-05-26,2003-05-26
91795343,Marc Lopez,marc lopez,ESP,2003-05-26,2008-05-25
31008583,Mariano Delfino,mariano delfino,ARG,2003-05-26,2003-05-26
30016088,Olivier Mutis,olivier mutis,FRA,2003-05-26,2005-01-17
88369651,Sergio Roitman,sergio roitman,ARG,2003-05-26,2009-06-22
41139116,Thierry Ascione,thierry ascione,FRA,2003-05-26,2008-06-23
77887524,Victor Hanescu,victor hanescu,ROU,2003-05-26,2014-06-23
16587381,Fernando Verdasco,fernando verdasco,ESP,2003-06-23,2022-08-29
13492888,Frederic Niemeyer,frederic niemeyer,CAN,2003-06-23,2003-06-23
95338461,Gilles Elseneer,gilles elseneer,BEL,2003-06-23,2005-08-29
27478666,Ivo Karlovic,ivo karlovic,CRO,2003-06-23,2021-08-30
65084160,Michal Mertinak,michal mertinak,SVK,2003-06-23,2003-06-23
8919895,Paul Baccanello,paul baccanello,AUS,2003-06-23,2005-01-17
53416828,Petr Luxa,petr luxa,CZE,2003-06-23,2003-06-23
59470770,Rafael Nadal,rafael nadal,ESP,2003-06-23,2024-05-27
56751750,Richard Bloomfield,richard bloomfield,GBR,2003-06-23,2007-06-25
11511108,Robert Kendrick,robert kendrick,USA,2003-06-23,2011-05-22
79005215,Wesley Moodie,wesley moodie,RSA,2003-06-23,2006-08-28
76628409,Amer Delic,amer delic,BIH,2003-08-25,2009-01-19
51061085,Brian Baker,brian baker,USA,2003-08-25,2016-08-29
21842284,Dmitry Tursunov,dmitry tursunov,RUS,2003-08-25,2017-08-28
76008160,Janko Tipsarevic,janko tipsarevic,SRB,2003-08-25,2019-08-26
93389799,Jeff Salzenstein,jeff salzenstein,USA,2003-08-25,2004-06-21
87897439,Kristof Vliegen,kristof vliegen,BEL,2003-08-25,2010-08-30
5955255,Maximilian Abel,maximilian abel,GER,2003-08-25,2003-08-25
33174907,Philipp Kohlschreiber,philipp kohlschreiber,GER,2003-08-25,2022-01-17
51355533,Robert Yim,robert yim,USA,2003-08-25,2003-08-25
20046122,Roko Karanusic,roko karanusic,CRO,2003-08-25,2009-06-22
38652349,Ruben Ramirez Hidalgo,ruben ramirez hidalgo,ESP,2003-08-25,2013-01-14
90048770,Tomas Berdych,tomas berdych,CZE,2003-08-25,2019-08-26
82196201,Chris Guccione,chris guccione,AUS,2004-01-19,2009-08-31
9770673,Dennis Van Scheppingen,dennis van scheppingen,NED,2004-01-19,2004-08-30
83686312,Florian Mayer,florian mayer,GER,2004-01-19,2018-08-27
43848423,Gilles Muller,gilles muller,LUX,2004-01-19,2018-08-27
85365525,Glenn Weiner,glenn weiner,USA,2004-01-19,2005-08-29
54095450,Igor Andreev,igor andreev,RUS,2004-01-19,2013-06-24
31177590,Oscar Hernandez,oscar hernandez,ESP,2004-01-19,2010-06-21
27599533,Ricardo Mello,ricardo mello,BRA,2004-01-19,2012-08-27
39293454,Alejandro Falla,alejandro falla,COL,2004-05-24,2015-06-29
40084296,Alexander Peya,alexander peya,AUT,2004-05-24,2009-06-22
19828554,Florent Serra,florent serra,FRA,2004-05-24,2013-08-26
47903199,Guillermo Garcia Lopez,guillermo garcia lopez,ESP,2004-05-24,2019-08-26
73336578,Jerome Haehnel,jerome haehnel,FRA,2004-05-24,2007-05-28
84030569,Juan Monaco,juan monaco,ARG,2004-05-24,2016-08-29
22306349,Julien Jeanpierre,julien jeanpierre,FRA,2004-05-24,2004-05-24
9471621,Marc Gicquel,marc gicquel,FRA,2004-05-24,2013-06-24
3222682,Nicolas Almagro,nicolas almagro,ESP,2004-05-24,2017-08-28
49484991,Potito Starace,potito starace,ITA,2004-05-24,2014-05-26
92495065,Stephane Robert,stephane robert,FRA,2004-05-24,2018-02-07
56621152,Andy Ram,andy ram,ISR,2004-06-21,2004-06-21
89915529,Daniele Bracciali,daniele bracciali,ITA,2004-06-21,2007-05-28
45527413,Ivan Navarro,ivan navarro,ESP,2004-06-21,2009-08-31
33087837,Jan Hernych,jan hernych,CZE,2004-06-21,2015-01-19
43039098,Jimmy Wang,jimmy wang,TPE,2004-06-21,2015-01-19
60356443,Jonathan Marray,jonathan marray,GBR,2004-06-21,2007-06-25
1022691,Stefano Pescosolido,stefano pescosolido,ITA,2004-06-21,2004-06-21
94856485,Yen Hsun Lu,yen hsun lu,TPE,2004-06-21,2021-08-02
37696299,Andreas Seppi,andreas seppi,ITA,2004-08-30,2022-01-17
83572152,Bobby Reynolds,bobby reynolds,USA,2004-08-30,2013-06-24
18657305,Danai Udomchoke,danai udomchoke,THA,2004-08-30,2012-01-16
15099606,Kj Hippensteel,kj hippensteel,USA,2004-08-30,2004-08-30
17680875,Marcos Baghdatis,marcos baghdatis,CYP,2004-08-30,2019-01-07
85988802,Rajeev Ram,rajeev ram,USA,2004-08-30,2016-08-29
27508284,Scoville Jenkins,scoville jenkins,USA,2004-08-30,2008-08-25
41358797,Wayne Odesnik,wayne odesnik,USA,2004-08-30,2014-08-25
7243957,Dieter Kindlmann,dieter kindlmann,GER,2005-01-17,2010-05-24
44954827,Gael Monfils,gael monfils,FRA,2005-01-17,2024-08-26
90772965,Marc Kimmich,marc kimmich,AUS,2005-01-17,2006-01-16
