name,name_norm,ioc,hand,height_cm,first_seen_date,last_seen_date
Jaymon Crabb,jaymon crabb,AUS,R,183.0,2002-01-14,2003-01-13
Peter Luczak,peter luczak,AUS,R,183.0,2003-01-13,2011-01-17
Renzo Furlan,renzo furlan,ITA,R,175.0,2003-01-13,2003-01-13
Olivier Mutis,olivier mutis,FRA,R,175.0,2003-05-26,2005-01-17
Julien Varlet,julien varlet,FRA,R,180.0,2002-05-27,2003-05-26
Victor Hanescu,victor hanescu,ROU,R,198.0,2003-05-26,2014-06-23
Luis Horna,luis horna,PER,R,180.0,2002-08-26,2008-08-25
Martin Verkerk,martin verkerk,NED,R,196.0,2002-08-26,2007-05-28
David Ferrer,david ferrer,ESP,R,175.0,2003-01-13,2018-08-27
Marc Lopez,marc lopez,ESP,R,175.0,2003-05-26,2008-05-25
Giorgio Galimberti,giorgio galimberti,ITA,R,180.0,2002-05-27,2005-08-29
Ivo Karlovic,ivo karlovic,CRO,R,208.0,2003-06-23,2021-08-30
Paul Baccanello,paul baccanello,AUS,R,183.0,2003-06-23,2005-01-17
Rafael Nadal,rafael nadal,ESP,L,185.0,2003-06-23,2024-05-27
Lee Childs,lee childs,GBR,R,,2001-06-25,2007-06-25
Brian Vahaly,brian vahaly,USA,R,183.0,2002-06-24,2004-01-19
Takao Suzuki,takao suzuki,JPN,R,175.0,2001-01-15,2005-01-17
Gilles Elseneer,gilles elseneer,BEL,R,188.0,2003-06-23,2005-08-29
Wesley Moodie,wesley moodie,RSA,R,196.0,2003-06-23,2006-08-28
Frederic Niemeyer,frederic niemeyer,CAN,R,190.0,2003-06-23,2003-06-23
Stefano Galvani,stefano galvani,ITA,R,178.0,2001-05-28,2010-05-24
Tomas Berdych,tomas berdych,CZE,R,196.0,2003-08-25,2019-08-26
Fernando Verdasco,fernando verdasco,ESP,L,188.0,2003-06-23,2022-08-29
Dmitry Tursunov,dmitry tursunov,RUS,R,185.0,2003-08-25,2017-08-28
Olivier Patience,olivier patience,FRA,R,180.0,2002-01-14,2010-05-24
Chris Guccione,chris guccione,AUS,L,201.0,2004-01-19,2009-08-31
Glenn Weiner,glenn weiner,USA,R,188.0,2004-01-19,2005-08-29
Joachim Johansson,joachim johansson,SWE,R,198.0,2003-01-13,2007-01-15
Filippo Volandri,filippo volandri,ITA,R,183.0,2003-05-26,2014-06-23
Florian Mayer,florian mayer,GER,R,190.0,2004-01-19,2018-08-27
Thierry Ascione,thierry ascione,FRA,R,188.0,2003-05-26,2008-06-23
Todd Reid,todd reid,AUS,R,180.0,2002-01-14,2005-01-17
Potito Starace,potito starace,ITA,R,188.0,2004-05-24,2014-05-26
Alejandro Falla,alejandro falla,COL,L,185.0,2004-05-24,2015-06-29
Igor Andreev,igor andreev,RUS,R,185.0,2004-01-19,2013-06-24
Julien Benneteau,julien benneteau,FRA,R,185.0,2002-05-27,2018-08-27
Daniel Elsner,daniel elsner,GER,R,183.0,2001-01-15,2004-08-30
Guillermo Garcia Lopez,guillermo garcia lopez,ESP,R,188.0,2004-05-24,2019-08-26
Juan Monaco,juan monaco,ARG,R,185.0,2004-05-24,2016-08-29
Jerome Haehnel,jerome haehnel,FRA,R,185.0,2004-05-24,2007-05-28
Julien Jeanpierre,julien jeanpierre,FRA,R,188.0,2004-05-24,2004-05-24
Yen Hsun Lu,yen hsun lu,TPE,R,180.0,2004-06-21,2021-06-28
Daniele Bracciali,daniele bracciali,ITA,R,180.0,2004-06-21,2007-05-28
Mark Hilton,mark hilton,GBR,L,170.0,2001-06-25,2004-06-21
Stefano Pescosolido,stefano pescosolido,ITA,R,185.0,2004-06-21,2004-06-21
Alexander Peya,alexander peya,AUT,R,183.0,2004-05-24,2009-06-22
Marcos Baghdatis,marcos baghdatis,CYP,R,183.0,2004-08-30,2019-07-01
