name,name_norm,ioc,hand,height_cm,first_seen_date,last_seen_date
Jan Choinski,jan choinski,GBR,R,196.0,2023-07-03,2024-08-26
Arthur Fils,arthur fils,FRA,R,185.0,2023-05-29,2024-08-26
Yu Hsiou Hsu,yu hsiou hsu,TPE,R,178.0,2023-01-16,2023-08-28
Felipe Meligeni Alves,felipe meligeni alves,BRA,R,185.0,2023-08-28,2024-07-01
Alex Michelsen,alex michelsen,USA,R,193.0,2023-08-28,2024-08-26
Fabian Marozsan,fabian marozsan,HUN,R,193.0,2023-07-03,2024-08-26
Juan Manuel Cerundolo,juan manuel cerundolo,ARG,L,183.0,2022-01-17,2023-08-28
Titouan Droguet,titouan droguet,FRA,R,191.0,2023-08-28,2023-08-28
Jakub Mensik,jakub mensik,CZE,R,193.0,2023-08-28,2024-08-26
Jesper De Jong,jesper de jong,NED,R,180.0,2024-01-15,2024-05-27
Aleksandar Kovacevic,aleksandar kovacevic,USA,R,183.0,2023-05-29,2024-08-26
Pavel Kotov,pavel kotov,RUS,R,191.0,2022-05-23,2024-08-26
Flavio Cobolli,flavio cobolli,ITA,R,183.0,2023-05-29,2024-08-26
Arthur Cazaux,arthur cazaux,FRA,R,183.0,2021-05-31,2024-08-26
Lukas Klein,lukas klein,SVK,R,193.0,2022-06-27,2024-01-15
Henri Squire,henri squire,GER,R,196.0,2024-05-27,2024-05-27
Filip Misolic,filip misolic,AUT,R,180.0,2024-05-27,2024-05-27
Jozef Kovalik,jozef kovalik,SVK,R,183.0,2016-01-18,2024-05-27
Luciano Darderi,luciano darderi,ITA,R,183.0,2024-05-27,2024-08-26
Mariano Navone,mariano navone,ARG,R,178.0,2024-05-27,2024-08-26
Zizou Bergs,zizou bergs,BEL,R,185.0,2022-06-27,2024-08-26
Otto Virtanen,otto virtanen,FIN,R,193.0,2023-08-28,2024-08-26
Francisco Comesana,francisco comesana,ARG,R,178.0,2024-07-01,2024-08-26
Adam Walton,adam walton,AUS,R,183.0,2024-01-15,2024-08-26
Giovanni Mpetshi Perricard,giovanni mpetshi perricard,FRA,R,203.0,2023-05-29,2024-08-26
Jacob Fearnley,jacob fearnley,GBR,R,183.0,2024-07-01,2024-07-01
Mattia Bellucci,mattia bellucci,ITA,L,175.0,2023-01-16,2024-08-26
Gabriel Diallo,gabriel diallo,CAN,R,203.0,2024-05-27,2024-08-26
Tristan Schoolkate,tristan schoolkate,AUS,R,183.0,2024-08-26,2024-08-26
Facundo Diaz Acosta,facundo diaz acosta,ARG,L,183.0,2023-05-29,2024-08-26
Jim Courier,jim courier,USA,R,185.0,2000-01-17,2000-01-17
Dejan Petrovic,dejan petrovic,SRB,R,,2000-01-17,2001-01-15
Julian Alonso,julian alonso,ESP,R,185.0,2000-01-17,2000-01-17
Alberto Berasategui,alberto berasategui,ESP,R,173.0,2000-01-17,2000-06-26
Juan Antonio Marin,juan antonio marin,CRC,R,175.0,2000-01-17,2006-05-29
Bernd Karbacher,bernd karbacher,GER,R,185.0,2000-01-17,2000-01-17
Gouichi Motomura,gouichi motomura,JPN,R,173.0,2000-01-17,2003-01-13
Nicklas Kulti,nicklas kulti,SWE,R,190.0,2000-01-17,2000-01-17
Lorenzo Manta,lorenzo manta,SUI,R,190.0,2000-01-17,2000-01-17
Alex Lopez Moron,alex lopez moron,ESP,R,175.0,2000-01-17,2000-01-17
Martin Rodriguez,martin rodriguez,ARG,R,178.0,2000-01-17,2000-05-29
Rodolphe Cadart,rodolphe cadart,FRA,L,183.0,2000-01-17,2000-01-17
Oscar Serrano,oscar serrano,ESP,R,173.0,2000-05-29,2000-05-29
Thierry Guardiola,thierry guardiola,FRA,R,188.0,2000-05-29,2000-08-28
Guillaume Raoux,guillaume raoux,FRA,R,180.0,2000-05-29,2000-05-29
Christian Ruud,christian ruud,NOR,R,188.0,2000-05-29,2001-05-28
Eric Prodon,eric prodon,FRA,R,178.0,2000-05-29,2012-05-27
Michael Kohlmann,michael kohlmann,GER,R,188.0,2000-06-26,2002-06-24
Miles Maclagan,miles maclagan,GBR,R,180.0,2000-06-26,2000-06-26
Paul Kilderry,paul kilderry,AUS,R,175.0,2000-06-26,2000-06-26
Igor Gaudi,igor gaudi,ITA,R,188.0,2000-06-26,2000-06-26
Mahesh Bhupathi,mahesh bhupathi,IND,R,185.0,2000-06-26,2000-06-26
Cedric Kauffmann,cedric kauffmann,FRA,R,,2000-08-28,2001-05-28
Phillip King,phillip king,USA,R,175.0,2000-08-28,2000-08-28
Nenad Zimonjic,nenad zimonjic,SRB,R,190.0,2001-01-15,2001-01-15
Ladislav Svarc,ladislav svarc,SVK,R,188.0,2001-01-15,2001-01-15
Matthew Breen,matthew breen,AUS,R,,2001-01-15,2001-01-15
Todd Perry,todd perry,AUS,R,175.0,2001-01-15,2001-01-15
Ota Fukarek,ota fukarek,CZE,R,190.0,2001-01-15,2002-01-14
Marc Kevin Goellner,marc kevin goellner,GER,R,196.0,2001-05-28,2001-05-28
Artem Derepasko,artem derepasko,RUS,R,,2001-06-25,2001-06-25
Luke Milligan,luke milligan,GBR,R,180.0,2001-06-25,2001-06-25
Yong Il Yoon,yong il yoon,KOR,R,175.0,2001-06-25,2001-06-25
Edwin Kempes,edwin kempes,NED,R,188.0,2001-06-25,2002-08-26
Levar Harper Griffith,levar harper griffith,USA,R,,2001-08-27,2001-08-27
Hugo Armando,hugo armando,USA,R,183.0,2001-08-27,2005-05-23
Cristiano Caratti,cristiano caratti,ITA,R,178.0,2001-08-27,2002-06-24
Eric Taino,eric taino,PHI,L,175.0,2001-08-27,2002-08-26
Mike Bryan,mike bryan,USA,R,190.0,2001-08-27,2001-08-27
Ivan Miranda,ivan miranda,PER,R,175.0,2002-05-27,2004-01-19
Didac Perez,didac perez,ESP,R,178.0,2002-05-27,2002-05-27
Edgardo Massa,edgardo massa,ARG,R,180.0,2002-05-27,2006-05-29
Oliver Marach,oliver marach,AUT,R,185.0,2002-05-27,2006-08-28
Alan Mackin,alan mackin,GBR,R,183.0,2002-06-24,2007-01-15
Juan Pablo Guzman,juan pablo guzman,ARG,L,178.0,2002-06-24,2007-08-27
Alex Bogdanovic,alex bogdanovic,GBR,L,183.0,2002-06-24,2009-06-22
Denis Golovanov,denis golovanov,RUS,L,188.0,2002-06-24,2002-06-24
Radoslav Lukaev,radoslav lukaev,BUL,R,,2002-08-26,2002-08-26
Slimane Saoudi,slimane saoudi,ALG,L,,2002-08-26,2002-08-26
Prakash Amritraj,prakash amritraj,IND,R,188.0,2002-08-26,2002-08-26
Matias Boeker,matias boeker,USA,R,,2002-08-26,2002-08-26
Bjorn Rehnquist,bjorn rehnquist,SWE,R,175.0,2002-08-26,2009-01-19
Zeljko Krajan,zeljko krajan,CRO,R,178.0,2003-01-13,2003-06-23
Ryan Henry,ryan henry,AUS,R,183.0,2003-01-13,2003-01-13
Giovanni Lapentti,giovanni lapentti,ECU,R,193.0,2003-05-26,2009-08-31
Sergio Roitman,sergio roitman,ARG,R,185.0,2003-05-26,2009-06-22
Mariano Delfino,mariano delfino,ARG,R,183.0,2003-05-26,2003-05-26
Hermes Gamonal,hermes gamonal,CHI,R,180.0,2003-05-26,2003-05-26
Petr Luxa,petr luxa,CZE,R,190.0,2003-06-23,2003-06-23
Michal Mertinak,michal mertinak,SVK,R,180.0,2003-06-23,2003-06-23
Maximilian Abel,maximilian abel,GER,R,,2003-08-25,2003-08-25
Robert Yim,robert yim,USA,L,,2003-08-25,2003-08-25
Jeff Salzenstein,jeff salzenstein,USA,L,185.0,2003-08-25,2004-06-21
Dennis Van Scheppingen,dennis van scheppingen,NED,R,185.0,2004-01-19,2004-08-30
Jonathan Marray,jonathan marray,GBR,R,183.0,2004-06-21,2007-06-25
Andy Ram,andy ram,ISR,R,180.0,2004-06-21,2004-06-21
Kj Hippensteel,kj hippensteel,USA,L,190.0,2004-08-30,2004-08-30
Marc Kimmich,marc kimmich,AUS,R,183.0,2005-01-17,2006-01-16
Sasa Tuksar,sasa tuksar,CRO,R,180.0,2005-05-23,2006-05-29
Tomas Tenconi,tomas tenconi,ITA,R,178.0,2005-05-23,2005-05-23
Josh Goodall,josh goodall,GBR,R,188.0,2005-06-20,2012-06-25
Adrian Garcia,adrian garcia,CHI,R,175.0,2005-06-20,2005-06-20
Tobias Summerer,tobias summerer,GER,R,185.0,2005-06-20,2005-08-29
Razvan Sabau,razvan sabau,ROU,R,185.0,2005-08-29,2006-06-26
Jacob Adaktusson,jacob adaktusson,SWE,R,193.0,2006-01-16,2006-01-16
Pavel Snobel,pavel snobel,CZE,L,190.0,2006-01-16,2008-06-23
Julio Silva,julio silva,BRA,R,173.0,2006-05-29,2010-08-30
Benedikt Dorsch,benedikt dorsch,GER,R,178.0,2006-06-26,2006-06-26
Jamie Baker,jamie baker,GBR,R,183.0,2006-06-26,2013-01-14
Phillip Simmonds,phillip simmonds,USA,R,,2006-08-28,2006-08-28
Brian Wilson,brian wilson,USA,R,190.0,2007-01-15,2007-01-15
Dusan Vemic,dusan vemic,SRB,R,190.0,2007-05-28,2007-05-28
Alexandre Sidorenko,alexandre sidorenko,FRA,R,185.0,2007-05-28,2009-05-25
Jonathan Eysseric,jonathan eysseric,FRA,L,180.0,2007-05-28,2008-05-25
Bruno Echagaray,bruno echagaray,MEX,R,183.0,2007-08-27,2007-08-27
Michael Mcclune,michael mcclune,USA,R,188.0,2007-08-27,2007-08-27
Dominik Meffert,dominik meffert,GER,R,198.0,2007-08-27,2007-08-27
Edouard Roger-Vasselin,edouard roger-vasselin,FRA,R,188.0,2008-01-14,2016-06-27
Nick Lindahl,nick lindahl,AUS,R,183.0,2008-01-14,2010-01-18
Martin Slanar,martin slanar,AUT,R,,2008-01-14,2008-01-14
Jesse Huta Galung,jesse huta galung,NED,R,188.0,2008-05-25,2014-01-13
Frederico Gil,frederico gil,POR,R,178.0,2008-05-25,2012-01-16
Izak Van Der Merwe,izak van der merwe,RSA,R,196.0,2008-06-23,2008-06-23
Dawid Olejniczak,dawid olejniczak,POL,R,,2008-06-23,2008-06-23
Jan Minar,jan minar,CZE,R,,2008-08-25,2008-08-25
Stephane Bohli,stephane bohli,SUI,R,185.0,2008-08-25,2008-08-25
Colin Ebelthite,colin ebelthite,AUS,R,,2009-01-19,2009-01-19
Andrea Stoppini,andrea stoppini,ITA,R,190.0,2009-01-19,2009-01-19
Lamine Ouahab,lamine ouahab,ALG,R,185.0,2009-01-19,2009-01-19
Franco Ferreiro,franco ferreiro,BRA,R,188.0,2009-05-25,2009-05-25
Romain Jouan,romain jouan,FRA,R,183.0,2009-05-25,2011-08-29
Grigor Dimitrov,grigor dimitrov,BUL,R,188.0,2009-06-22,2024-08-26
Riccardo Ghedin,riccardo ghedin,ITA,R,188.0,2009-06-22,2009-06-22
Luka Gregorc,luka gregorc,SLO,R,,2009-06-22,2009-06-22
Santiago Gonzalez,santiago gonzalez,MEX,R,190.0,2009-06-22,2009-06-22
Michael Yani,michael yani,USA,R,185.0,2009-06-22,2011-08-29
Devin Britton,devin britton,USA,R,193.0,2009-08-31,2009-08-31
Chase Buchanan,chase buchanan,USA,R,193.0,2009-08-31,2009-08-31
Ricardo Hocevar,ricardo hocevar,BRA,R,180.0,2010-01-18,2010-01-18
David Guez,david guez,FRA,R,185.0,2010-01-18,2014-01-13
Jorge Aguilar,jorge aguilar,CHI,R,178.0,2010-05-24,2010-05-24
Gianni Mina,gianni mina,FRA,R,185.0,2010-05-24,2010-05-24
Andrey Kuznetsov,andrey kuznetsov,RUS,R,185.0,2010-06-21,2022-05-23
Guillermo Alcaide,guillermo alcaide,ESP,R,188.0,2010-06-21,2010-06-21
Bradley Klahn,bradley klahn,USA,L,190.0,2010-08-30,2020-08-31
Jack Sock,jack sock,USA,R,185.0,2010-08-30,2022-08-29
Lukas Rosol,lukas rosol,CZE,R,196.0,2010-08-30,2022-06-27
Dusan Lojda,dusan lojda,CZE,L,188.0,2010-08-30,2010-08-30
Martin Klizan,martin klizan,SVK,L,190.0,2010-08-30,2019-08-26
Marco Crugnola,marco crugnola,ITA,R,188.0,2011-01-17,2011-01-17
Javier Marti,javier marti,ESP,R,,2011-05-22,2011-05-22
Augustin Gensse,augustin gensse,FRA,R,180.0,2011-05-22,2011-08-29
Daniel Cox,daniel cox,GBR,R,170.0,2011-06-20,2014-06-23
Jaroslav Pospisil,jaroslav pospisil,CZE,R,175.0,2011-06-20,2011-06-20
Conor Niland,conor niland,IRL,R,185.0,2011-06-20,2011-08-29
Jonathan Dasnieres De Veigy,jonathan dasnieres de veigy,FRA,L,175.0,2011-08-29,2012-05-27
Joao Souza,joao souza,BRA,R,193.0,2011-08-29,2015-08-31
Robert Farah,robert farah,COL,R,193.0,2011-08-29,2011-08-29
Matteo Viola,matteo viola,ITA,R,188.0,2012-01-16,2012-01-16
Greg Jones,greg jones,AUS,R,190.0,2012-01-16,2012-01-16
Frederik Nielsen,frederik nielsen,DEN,R,190.0,2012-01-16,2012-01-16
Benjamin Mitchell,benjamin mitchell,AUS,R,183.0,2012-01-16,2013-01-14
Daniel Munoz de la Nava,daniel munoz de la nava,ESP,L,178.0,2012-05-27,2016-05-23
Oliver Golding,oliver golding,GBR,R,188.0,2012-06-25,2012-06-25
Maxime Authom,maxime authom,BEL,R,,2012-08-27,2013-01-14
Hiroki Moriya,hiroki moriya,JPN,R,168.0,2012-08-27,2015-06-29
Rhyne Williams,rhyne williams,USA,R,185.0,2012-08-27,2014-01-13
Arnau Brugues Davi,arnau brugues davi,ESP,L,183.0,2013-01-14,2013-01-14
John Patrick Smith,john patrick smith,AUS,L,188.0,2013-01-14,2020-01-20
Di Wu,di wu,CHN,R,175.0,2013-01-14,2016-01-18
Martin Alund,martin alund,ARG,R,183.0,2013-05-27,2013-06-24
Gastao Elias,gastao elias,POR,R,180.0,2013-06-24,2018-07-02
Matt Reid,matt reid,AUS,R,183.0,2013-06-24,2013-06-24
Bastian Knittel,bastian knittel,GER,L,180.0,2013-06-24,2013-06-24
Albano Olivetti,albano olivetti,FRA,R,203.0,2013-08-26,2016-06-27
Collin Altamirano,collin altamirano,USA,R,188.0,2013-08-26,2018-08-27
Ze Zhang,ze zhang,CHN,R,188.0,2014-01-13,2015-01-19
Laurent Lokoli,laurent lokoli,FRA,R,188.0,2014-05-26,2023-07-03
Facundo Arguello,facundo arguello,ARG,R,178.0,2014-05-26,2015-05-24
Miloslav Mecir Jr,miloslav mecir jr,SVK,R,190.0,2014-05-26,2014-05-26
Daniel Smethurst,daniel smethurst,GBR,R,188.0,2014-06-23,2014-06-23
James Mcgee,james mcgee,IRL,R,183.0,2014-08-25,2014-08-25
Niels Desein,niels desein,BEL,R,190.0,2014-08-25,2014-08-25
Yuki Bhambri,yuki bhambri,IND,R,185.0,2015-01-19,2018-08-27
Luca Vanni,luca vanni,ITA,R,198.0,2015-05-24,2019-01-14
Germain Gigounon,germain gigounon,BEL,R,,2015-05-24,2015-05-24
Maxime Hamou,maxime hamou,FRA,R,185.0,2015-05-24,2017-05-29
Christian Lindell,christian lindell,SWE,R,193.0,2015-05-24,2015-05-24
Kimmer Coppejans,kimmer coppejans,BEL,R,178.0,2015-05-24,2023-07-03
Ryan Shane,ryan shane,USA,R,193.0,2015-08-31,2015-08-31
Gerald Melzer,gerald melzer,AUT,L,188.0,2016-05-23,2018-01-15
Jordi Samper Montana,jordi samper montana,ESP,U,,2016-05-23,2016-05-23
Alexander Ward,alexander ward,GBR,R,185.0,2016-06-27,2017-07-03
Tristan Lamasine,tristan lamasine,FRA,R,183.0,2016-06-27,2016-06-27
Franko Skugor,franko skugor,CRO,R,196.0,2016-06-27,2016-06-27
Saketh Myneni,saketh myneni,IND,R,193.0,2016-08-29,2016-08-29
Guilherme Clezar,guilherme clezar,BRA,R,183.0,2016-08-29,2016-08-29
Blake Mott,blake mott,AUS,R,180.0,2017-01-16,2017-01-16
Arthur De Greef,arthur de greef,BEL,R,183.0,2017-05-29,2017-05-29
Geoffrey Blancaneaux,geoffrey blancaneaux,FRA,R,180.0,2017-08-28,2022-05-23
Vaclav Safranek,vaclav safranek,CZE,R,183.0,2017-08-28,2018-01-15
Patrick Kypson,patrick kypson,USA,R,188.0,2017-08-28,2024-01-15
Thai Son Kwiatkowski,thai son kwiatkowski,USA,R,188.0,2017-08-28,2020-08-31
Jc Aragone,jc aragone,USA,R,178.0,2017-08-28,2017-08-28
Darian King,darian king,BAR,R,188.0,2017-08-28,2017-08-28
Evan King,evan king,USA,L,185.0,2017-08-28,2017-08-28
Kevin King,kevin king,USA,L,191.0,2018-01-15,2018-01-15
Calvin Hemery,calvin hemery,FRA,R,191.0,2018-05-28,2018-05-28
Mohamed Safwat,mohamed safwat,EGY,R,180.0,2018-05-28,2020-08-31
Carlos Taberner,carlos taberner,ESP,R,183.0,2018-05-28,2022-06-27
Maxime Janvier,maxime janvier,FRA,R,196.0,2018-05-28,2024-07-01
Jason Jung,jason jung,TPE,R,180.0,2018-07-02,2020-09-28
Federico Gaio,federico gaio,ITA,R,178.0,2018-08-27,2020-08-31
Zhe Li,zhe li,CHN,R,183.0,2019-01-14,2019-01-14
Gleb Sakharov,gleb sakharov,FRA,R,185.0,2019-01-14,2019-01-14
Prajnesh Gunneswaran,prajnesh gunneswaran,IND,L,188.0,2019-01-14,2020-01-20
Rudolf Molleker,rudolf molleker,GER,R,188.0,2019-01-14,2019-05-27
Pedro Sousa,pedro sousa,POR,R,180.0,2019-01-14,2021-06-28
Alexey Vatutin,alexey vatutin,RUS,R,178.0,2019-05-27,2019-05-27
Yasutaka Uchiyama,yasutaka uchiyama,JPN,R,183.0,2019-07-01,2021-06-28
Paul Jubb,paul jubb,GBR,R,180.0,2019-07-01,2024-07-01
Brayden Schnur,brayden schnur,CAN,R,193.0,2019-07-01,2019-08-26
Mario Vilella Martinez,mario vilella martinez,ESP,R,178.0,2020-01-20,2021-05-31
Andrew Harris,andrew harris,AUS,R,183.0,2020-01-20,2020-01-20
Ulises Blanch,ulises blanch,USA,R,188.0,2020-08-31,2020-08-31
Emilio Gomez,emilio gomez,ECU,R,185.0,2020-09-28,2022-01-17
Steven Diez,steven diez,CAN,R,175.0,2020-09-28,2020-09-28
Frederico Ferreira Silva,frederico ferreira silva,POR,L,178.0,2021-02-08,2021-02-08
Li Tu,li tu,AUS,R,183.0,2021-02-08,2024-08-26
Mikael Torpegaard,mikael torpegaard,DEN,R,193.0,2021-02-08,2021-02-08
Daniel Masur,daniel masur,GER,R,183.0,2021-06-28,2021-06-28
Cem Ilkel,cem ilkel,TUR,R,185.0,2021-08-30,2021-08-30
Sam Riffice,sam riffice,USA,R,188.0,2021-08-30,2021-08-30
Chun Hsin Tseng,chun hsin tseng,TPE,R,175.0,2022-01-17,2023-01-16
Timofey Skatov,timofey skatov,KAZ,R,175.0,2022-01-17,2024-08-26
Santiago Fa Rodriguez Taverna,santiago fa rodriguez taverna,ARG,R,191.0,2022-05-23,2022-05-23
Manuel Guinard,manuel guinard,FRA,R,198.0,2022-05-23,2022-05-23
Franco Agamenone,franco agamenone,ITA,R,191.0,2022-05-23,2022-05-23
Marc Andrea Huesler,marc andrea huesler,SUI,L,196.0,2022-06-27,2023-08-28
Nicola Kuhn,nicola kuhn,GER,R,185.0,2022-06-27,2022-06-27
Alexander Ritschard,alexander ritschard,SUI,R,193.0,2022-06-27,2022-08-29
Learner Tien,learner tien,USA,L,180.0,2022-08-29,2024-08-26
Oleksii Krutykh,oleksii krutykh,UKR,R,185.0,2023-01-16,2023-01-16
Eduardo Nava,eduardo nava,USA,R,180.0,2023-05-29,2023-05-29
Hamad Medjedovic,hamad medjedovic,SRB,R,188.0,2023-05-29,2024-08-26
Sho Shimabukuro,sho shimabukuro,JPN,R,180.0,2023-07-03,2023-08-28
George Loffhagen,george loffhagen,GBR,R,188.0,2023-07-03,2023-07-03
Arthur Fery,arthur fery,GBR,R,175.0,2023-07-03,2024-07-01
Shintaro Mochizuki,shintaro mochizuki,JPN,R,175.0,2023-07-03,2024-05-27
Nicolas Moreno De Alboran,nicolas moreno de alboran,USA,R,185.0,2023-08-28,2024-05-27
Ethan Quinn,ethan quinn,USA,R,191.0,2023-08-28,2023-08-28
Dino Prizmic,dino prizmic,CRO,R,188.0,2024-01-15,2024-01-15
Dane Sweeny,dane sweeny,AUS,R,170.0,2024-01-15,2024-01-15
Vit Kopriva,vit kopriva,CZE,R,178.0,2024-01-15,2024-07-01
Terence Atmane,terence atmane,FRA,L,193.0,2024-01-15,2024-05-27
James Mccabe,james mccabe,AUS,R,188.0,2024-01-15,2024-01-15
Mate Valkusz,mate valkusz,HUN,R,183.0,2024-01-15,2024-01-15
Roman Andres Burruchaga,roman andres burruchaga,ARG,R,183.0,2024-05-27,2024-05-27
Luca Nardi,luca nardi,ITA,R,185.0,2024-05-27,2024-08-26
Valentin Vacherot,valentin vacherot,MON,R,193.0,2024-05-27,2024-05-27
Gustavo Heide,gustavo heide,BRA,R,191.0,2024-05-27,2024-05-27
Charles Broom,charles broom,GBR,R,178.0,2024-07-01,2024-07-01
Mark Lajal,mark lajal,EST,R,191.0,2024-07-01,2024-07-01
Henry Searle,henry searle,GBR,L,193.0,2024-07-01,2024-07-01
Billy Harris,billy harris,GBR,R,193.0,2024-07-01,2024-07-01
Alejandro Moro Canas,alejandro moro canas,ESP,R,183.0,2024-07-01,2024-07-01
Eliot Spizzirri,eliot spizzirri,USA,R,183.0,2024-08-26,2024-08-26
Matthew Forbes,matthew forbes,USA,U,,2024-08-26,2024-08-26
Bu Yunchaokete,bu yunchaokete,CHN,R,185.0,2024-08-26,2024-08-26
Kyrian Jacquet,kyrian jacquet,FRA,R,178.0,2024-08-26,2024-08-26
Maks Kasnikowski,maks kasnikowski,POL,R,180.0,2024-08-26,2024-08-26
