player_id,name,name_norm,ioc,first_seen_date,last_seen_date,match_count
7178991,Bernabe Zapata Miralles,bernabe zapata miralles,ESP,2021-05-31,2024-01-15,16
80365173,Bernard Tomic,bernard tomic,AUS,2009-01-19,2021-08-02,79
86815960,Bernd Karbacher,bernd karbacher,GER,2000-01-17,2000-01-17,1
36266675,Billy Harris,billy harris,GBR,2024-01-07,2025-07-02,2
3265508,Bjorn Fratangelo,bjorn fratangelo,USA,2015-08-31,2022-05-23,14
77206214,Bjorn Phau,bjorn phau,GER,2000-05-29,2013-01-14,32
42442584,Bjorn Rehnquist,bjorn rehnquist,SWE,2002-08-26,2009-01-19,3
52070874,Blake Mott,blake mott,AUS,2017-01-16,2017-01-16,1
25796117,Blanchet U.,blanchet u,FRA,2025-05-26,2025-05-26,1
96177559,Blaz Kavcic,blaz kavcic,SLO,2010-01-18,2018-01-15,33
71496444,Blaz Rola,blaz rola,SLO,2014-01-13,2019-05-27,8
14700592,Bob Bryan,bob bryan,USA,2000-08-28,2001-08-27,4
83572152,Bobby Reynolds,bobby reynolds,USA,2004-08-30,2013-06-24,24
62014384,Bohdan Ulihrach,bohdan ulihrach,CZE,2000-05-29,2007-06-25,27
41433779,Boris Pashanski,boris pashanski,SRB,2006-01-16,2008-06-23,9
33620474,Borna Coric,borna coric,CRO,2014-08-25,2025-01-14,64
72928363,Borna Gojo,borna gojo,CRO,2022-05-23,2023-08-28,7
72573175,Botic Van De Zandschulp,botic van de zandschulp,NED,2021-05-31,2024-08-26,36
91259453,Boyer T.,boyer t,USA,2025-01-14,2025-01-16,2
92549367,Bradley Klahn,bradley klahn,USA,2010-08-30,2020-08-31,18
65925134,Brandon Holt,brandon holt,USA,2022-08-29,2025-06-30,4
84303126,Brandon Nakashima,brandon nakashima,USA,2020-08-31,2025-07-05,29
94693962,Brayden Schnur,brayden schnur,CAN,2019-01-07,2019-08-26,2
54842034,Brendan Evans,brendan evans,USA,2008-08-25,2010-06-21,4
51061085,Brian Baker,brian baker,USA,2003-08-25,2016-08-29,19
42174115,Brian Dabul,brian dabul,ARG,2008-06-23,2011-05-22,8
92490793,Brian Vahaly,brian vahaly,USA,2002-06-24,2004-01-19,8
48935662,Brian Wilson,brian wilson,USA,2007-01-15,2007-01-15,1
47457982,Bruno Echagaray,bruno echagaray,MEX,2007-08-27,2007-08-27,1
97737008,Brydan Klein,brydan klein,AUS,2008-01-14,2017-03-07,6
65330098,Bu Y.,bu y,CHN,2025-01-12,2025-07-02,3
71849665,Bu Yunchaokete,bu yunchaokete,CHN,2024-08-26,2024-08-26,1
65144875,Byron Black,byron black,ZIM,2000-01-17,2002-01-14,15
91759742,Calvin Hemery,calvin hemery,FRA,2018-05-28,2018-05-28,1
19083412,Cameron Norrie,cameron norrie,GBR,2017-03-07,2025-07-08,61
78016004,Camilo Ugo Carabelli,camilo ugo carabelli,ARG,2022-05-23,2024-08-26,3
16144792,Carballes Baena R.,carballes baena r,ESP,2025-01-13,2025-07-01,4
73350060,Carlos Alcaraz,carlos alcaraz,ESP,2021-05-31,2025-07-13,71
72386636,Carlos Berlocq,carlos berlocq,ARG,2006-01-16,2018-08-27,45
31847188,Carlos Moya,carlos moya,ESP,2000-05-29,2010-01-18,80
96307959,Carlos Taberner,carlos taberner,ESP,2018-05-28,2022-06-27,6
57014803,Carreno Busta P.,carreno busta p,ESP,2025-01-14,2025-05-28,4
59741908,Carsten Ball,carsten ball,AUS,2008-08-25,2011-01-17,11
97674767,Cecil Mamiit,cecil mamiit,PHI,2000-01-17,2004-01-19,14
29389197,Cedric Kauffmann,cedric kauffmann,FRA,2000-08-28,2001-05-28,2
27643104,Cedric Pioline,cedric pioline,FRA,2000-01-17,2002-06-24,20
97545290,Cedrik Marcel Stebe,cedrik marcel stebe,GER,2011-06-20,2021-08-02,17
81049321,Cem Ilkel,cem ilkel,TUR,2021-08-30,2021-08-30,1
69365257,Cerundolo J.M.,cerundolo jm,ARG,2025-05-25,2025-05-28,2
66219887,Charles Broom,charles broom,GBR,2024-01-07,2024-01-07,1
76078659,Chase Buchanan,chase buchanan,USA,2009-08-31,2009-08-31,1
53759313,Chris Eaton,chris eaton,GBR,2008-06-23,2008-06-23,2
82196201,Chris Guccione,chris guccione,AUS,2004-01-19,2009-08-31,19
15079852,Chris Woodruff,chris woodruff,USA,2000-01-17,2001-08-27,17
75585919,Christian Harrison,christian harrison,USA,2016-08-29,2022-06-27,4
9355355,Christian Lindell,christian lindell,SWE,2015-05-24,2015-05-24,1
6089897,Christian Ruud,christian ruud,NOR,2000-05-29,2025-05-28,71
68824457,Christian Vinck,christian vinck,GER,2000-05-29,2001-01-15,7
94662776,Christophe Rochus,christophe rochus,BEL,2000-01-17,2010-01-18,49
51742194,Christopher Eubanks,christopher eubanks,USA,2017-08-28,2025-07-01,22
72134275,Christopher Oconnell,christopher oconnell,AUS,2017-01-16,2024-08-26,26
90300823,Chun Hsin Tseng,chun hsin tseng,TPE,2022-01-17,2023-01-16,5
93511787,Colin Ebelthite,colin ebelthite,AUS,2009-01-19,2009-01-19,1
93290891,Collignon R.,collignon r,BEL,2025-07-01,2025-07-01,1
22049911,Collin Altamirano,collin altamirano,USA,2013-08-26,2018-08-27,2
53908007,Conor Niland,conor niland,IRL,2011-06-20,2011-08-29,2
2578301,Constant Lestienne,constant lestienne,FRA,2023-01-16,2024-08-26,9
33590805,Corentin Moutet,corentin moutet,FRA,2018-01-15,2025-07-03,41
5873699,Crawford O.,crawford o,GBR,2025-06-30,2025-06-30,1
60341114,Cristian Garin,cristian garin,CHI,2017-03-07,2025-07-03,41
51106355,Cristiano Caratti,cristiano caratti,ITA,2001-08-27,2002-06-24,2
90506107,Cyril Saulnier,cyril saulnier,FRA,2000-01-17,2006-01-16,26
22934714,Dalibor Svrcina,dalibor svrcina,CZE,2023-01-16,2023-01-16,2
20848857,Damir Dzumhur,damir dzumhur,BIH,2014-01-13,2025-07-01,42
18657305,Danai Udomchoke,danai udomchoke,THA,2004-08-30,2012-01-16,14
66065100,Dane Sweeny,dane sweeny,AUS,2024-01-15,2024-01-15,1
7621612,Daniel Altmaier,daniel altmaier,GER,2020-09-28,2025-06-30,21
96078619,Daniel Brands,daniel brands,GER,2008-05-25,2017-03-07,25
25138469,Daniel Cox,daniel cox,GBR,2011-06-20,2014-06-23,2
49101984,Daniel Elahi Galan,daniel elahi galan,COL,2020-01-20,2024-05-27,24
38583818,Daniel Elsner,daniel elsner,GER,2001-01-15,2004-08-30,6
55830548,Daniel Evans,daniel evans,GBR,2009-06-22,2025-07-03,64
98374500,Daniel Gimeno Traver,daniel gimeno traver,ESP,2005-05-23,2016-01-18,36
58036056,Daniel Koellerer,daniel koellerer,AUT,2009-05-25,2010-05-24,7
99263469,Daniel Masur,daniel masur,GER,2021-06-28,2021-06-28,1
64036821,Daniel Munoz de la Nava,daniel munoz de la nava,ESP,2012-05-27,2016-05-23,5
8778891,Daniel Nestor,daniel nestor,CAN,2000-06-26,2001-06-25,9
42462174,Daniel Smethurst,daniel smethurst,GBR,2014-06-23,2014-06-23,1
41108922,Daniel Vacek,daniel vacek,CZE,2000-01-17,2002-01-14,5
89915529,Daniele Bracciali,daniele bracciali,ITA,2004-06-21,2007-05-28,16
57428056,Daniil Medvedev,daniil medvedev,RUS,2017-01-16,2025-06-30,117
8427463,Darian King,darian king,BAR,2017-08-28,2017-08-28,1
12833669,David Ferrer,david ferrer,ESP,2003-01-13,2018-08-27,209
98990907,David Goffin,david goffin,BEL,2012-05-27,2025-07-01,113
75309651,David Guez,david guez,FRA,2010-01-18,2014-01-13,4
2588445,David Marrero,david marrero,ESP,2008-05-25,2008-05-25,2
79337905,David Nalbandian,david nalbandian,ARG,2001-08-27,2012-06-25,122
45849660,David Prinosil,david prinosil,GER,2000-05-29,2003-01-13,15
21098379,David Sanchez,david sanchez,ESP,2000-08-28,2005-05-23,27
56280824,David Sherwood,david sherwood,GBR,2005-06-20,2005-06-20,2
85272829,Davide Sanguinetti,davide sanguinetti,ITA,2000-01-17,2007-06-25,40
59348917,Davidovich Fokina A.,davidovich fokina a,ESP,2025-01-13,2025-07-07,11
94516134,Dawid Olejniczak,dawid olejniczak,POL,2008-06-23,2008-06-23,1
64627384,De Jong J.,de jong j,NED,2025-05-27,2025-07-03,4
95360991,Dejan Petrovic,dejan petrovic,SRB,2000-01-17,2001-01-15,3
9204401,Denis Golovanov,denis golovanov,RUS,2002-06-24,2002-06-24,1
79591431,Denis Gremelmayr,denis gremelmayr,GER,2006-01-16,2011-06-20,13
12150093,Denis Istomin,denis istomin,UZB,2006-01-16,2021-05-31,80
27186822,Denis Kudla,denis kudla,USA,2012-01-16,2023-01-16,47
1710964,Denis Shapovalov,denis shapovalov,CAN,2017-03-07,2025-07-01,71
70514144,Dennis Novak,dennis novak,AUT,2018-01-15,2023-03-07,14
40319854,Dennis Novikov,dennis novikov,USA,2012-08-27,2016-06-27,4
9770673,Dennis Van Scheppingen,dennis van scheppingen,NED,2004-01-19,2004-08-30,4
81685543,Devin Britton,devin britton,USA,2009-08-31,2009-08-31,1
79364435,Di Wu,di wu,CHN,2013-01-14,2016-01-18,3
23479722,Diaz Acosta F.,diaz acosta f,ARG,2025-01-14,2025-01-16,2
12614155,Dick Norman,dick norman,BEL,2002-08-26,2006-06-26,14
43978924,Didac Perez,didac perez,ESP,2002-05-27,2002-05-27,1
48204638,Diego Hartfield,diego hartfield,ARG,2006-05-29,2008-01-14,6
